question_text,answer1_text,answer2_text,answer3_text,correct_id
trouble,профессор,проблема,коробка,2
necessary,естественный,сезон,важно,3
thoughout,эксперт,на протяжении,американский,2
challenge,испытание,век,им,1
fear,налог,как,страх,3
shoulder,определенный,плечо,другой,2
institution,журнал,она,учреждение,3
middle,скучать,поддержка,средний,3
sea,финансовый,море,сердце,2
dream,спрашивать,люди,мечта/сон,3
magazine,так как,журнал,теория,2
bar,бар,туда,опыт,1
beautiful,сидеть,проблема,красиво,3
property,взбивать,вода,имущество,3
instead,скоро,вместо,заявлять,2
improve,улучшать,обсуждать,образование,1
stuff,выбор,персонал,различный,2
detail,или,деталь,болезнь,2
method,модель,некоторые,метод,3
